trait	sumstats	ldsc_log	mixer_list	ldsc_status	mixer_status	ldsc_total_h2	ldsc_total_h2_se	ldsc_lambda_gc	ldsc_mean_chi2	ldsc_intercept	ldsc_intercept_se	ldsc_ratio	ldsc_ratio_se	ldsc_h2_outside_region	ldsc_h2_within_region	ldsc_h2_se_outside_region	ldsc_h2_se_within_region	ldsc_prop_snps_outside_region	ldsc_prop_snps_within_region	ldsc_prop_h2_outside_region	ldsc_prop_h2_within_region	ldsc_enrichment_outside_region	ldsc_enrichment_within_region	ldsc_coef_outside_region	ldsc_coef_within_region	ldsc_coef_se_outside_region	ldsc_coef_se_within_region	mixer_enrichment_outside_region	mixer_enrichment_outside_region_se	mixer_enrichment_within_region	mixer_enrichment_within_region_se	mixer_total_h2	mixer_total_h2_se	mixer_h2_outside_region	mixer_h2_within_region
PASS.CHIP.Kessler2022	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.CHIP.Kessler2022.sumstats.gz	results/sldsc_sumstats_107/PASS.CHIP.Kessler2022.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.CHIP.Kessler2022_list.txt	ok	ok	0.0175	0.0034	1.0732	1.1269	1.0214	0.0112	0.1685	0.0883	0.017435	7.964e-05	0.005	0.0029	0.9947	0.0053	0.9955	0.0045	1.0007	0.8625	2.8725e-09	2.4756e-09	8.2358e-10	9.1586e-08	0.9079694711876096	0.05610046199384116	18.606407020130362	10.732607762088163	0.016505229958300116	0.0015201623137302382	0.014908317583605836	0.0015969123746942674
PASS.Cancer_Esophageal.Gharahkhani2016	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Cancer_Esophageal.Gharahkhani2016.sumstats.gz	results/sldsc_sumstats_107/PASS.Cancer_Esophageal.Gharahkhani2016.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Cancer_Esophageal.Gharahkhani2016_list.txt	ok	ok	0.203	0.0292	1.0466	1.0568	0.9904	0.0059			0.1776	0.0254	0.0288	0.0252	0.9947	0.0053	0.8749	0.1251	0.8796	23.7247	2.9267e-08	7.8945e-07	4.7404e-09	7.8356e-07	0.8880141511902805	0.0710499612152356	22.42406938308703	13.592604020238129	0.19350354726162494	0.023534254071695543	0.17094036512740443	0.022563182134221767
PASS.Cancer_Lung.McKay2017	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Cancer_Lung.McKay2017.sumstats.gz	results/sldsc_sumstats_107/PASS.Cancer_Lung.McKay2017.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Cancer_Lung.McKay2017_list.txt	ok	ok	0.0767	0.0091	1.152	1.1699	1.0741	0.0079	0.436	0.0464	0.0668	0.0099	0.0102	0.0068	0.9947	0.0053	0.8709	0.1291	0.8756	24.4786	1.1013e-08	3.0789e-07	1.6765e-09	2.1157e-07	0.761236204260555	0.04426900982468746	46.67802253999436	8.469126662745861	0.10260373873618349	0.0072760970543286315	0.07769953702129537	0.024904201714887875
PASS.Cancer_Prostate.Schumacher2018	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Cancer_Prostate.Schumacher2018.sumstats.gz	results/sldsc_sumstats_107/PASS.Cancer_Prostate.Schumacher2018.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Cancer_Prostate.Schumacher2018_list.txt	ok	ok	0.2692	0.0244	1.2221	1.4138	1.1311	0.0173	0.3168	0.0418	0.2226	0.0466	0.0242	0.0198	0.9947	0.0053	0.8269	0.1731	0.8313	32.8257	3.6678e-08	1.4483e-06	3.9827e-09	6.1483e-07	0.7324521958598353	0.020838748231189603	52.18470574733604	3.986671465251369	0.3459175020731068	0.012094912003602866	0.25205053947855327	0.09386696259455274
PASS.Cannabis_Use_Disorder.Johnson2020	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Cannabis_Use_Disorder.Johnson2020.sumstats.gz	results/sldsc_sumstats_107/PASS.Cannabis_Use_Disorder.Johnson2020.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Cannabis_Use_Disorder.Johnson2020_list.txt	ok	ok	0.0186	0.0018	1.127	1.1346	1.027	0.0065	0.2006	0.0484	0.0198	-0.0012	0.0019	0.0011	0.9947	0.0053	1.0666	-0.0666	1.0723	-12.6408	3.2672e-09	-3.8515e-08	3.1652e-10	3.4001e-08	1.00522710446868	0.0	0.0	0.0	0.016800107156327883	0.0012900819419781634	0.016800107156327883	0.0
PASS.Celiac.Dubois2010	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Celiac.Dubois2010.sumstats.gz	results/sldsc_sumstats_107/PASS.Celiac.Dubois2010.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Celiac.Dubois2010_list.txt	ok	ok	0.2742	0.073	1.1019	1.1319	1.0754	0.012	0.5713	0.0908	0.2763	-0.002	0.075	0.0348	0.9947	0.0053	1.0074	-0.0074	1.0128	-1.4114	4.552e-08	-6.3434e-08	1.2355e-08	1.082e-06	0.9131280939495116	0.0852857997712771	17.619508290096764	16.316069495498905	0.23843781525888078	0.0372670545630592	0.21659211814419443	0.021845697114687163
PASS.Chronic_Obstructive_Pulmonary_Disease.Consentino2023	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Chronic_Obstructive_Pulmonary_Disease.Consentino2023.sumstats.gz	results/sldsc_sumstats_107/PASS.Chronic_Obstructive_Pulmonary_Disease.Consentino2023.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Chronic_Obstructive_Pulmonary_Disease.Consentino2023_list.txt	ok	ok	0.2093	0.0104	1.7024	2.2656	1.2858	0.022	0.2258	0.0174	0.2084	0.0009	0.0109	0.0057	0.9947	0.0053	0.9956	0.0044	1.0009	0.8381	3.4334e-08	2.8752e-08	1.8007e-09	1.7693e-07	0.996153034169021	0.009120360080778813	1.7359649790860074	1.7448207005274377	0.210363999790713	0.004160820398254358	0.2084650679830319	0.0018989318076807328
PASS.Cigarettes_Per_Day.Liu2019	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Cigarettes_Per_Day.Liu2019.sumstats.gz	results/sldsc_sumstats_107/PASS.Cigarettes_Per_Day.Liu2019.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Cigarettes_Per_Day.Liu2019_list.txt	ok	ok	0.0708	0.0056	1.2435	1.3369	1.0326	0.0122	0.0967	0.0363	0.0766	-0.0058	0.0056	0.0034	0.9947	0.0053	1.0815	-0.0815	1.0872	-15.4517	1.2621e-08	-1.7937e-07	9.1551e-10	1.0569e-07	1.0052271044686847	0.0	0.0	0.0	0.0627240253469192	0.0029723253936178176	0.0627240253469192	0.0
PASS.Coronary_Artery_Disease.Aragam2022	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Coronary_Artery_Disease.Aragam2022.sumstats.gz	results/sldsc_sumstats_107/PASS.Coronary_Artery_Disease.Aragam2022.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Coronary_Artery_Disease.Aragam2022_list.txt	ok	ok	0.0333	0.0025	1.4118	1.7529	1.1275	0.0168	0.1693	0.0223	0.0314	0.0019	0.0023	0.0012	0.9947	0.0053	0.9421	0.0579	0.9471	10.9775	5.1757e-09	5.9989e-08	3.797e-10	3.6429e-08	0.9448230056328639	0.01423646496490845	11.555938703294085	2.7235853138581	0.03225175542116816	0.0007780310679047378	0.030313747369625662	0.0019380080515425053
PASS.Covid19_Infection.hg_v7	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Covid19_Infection.hg_v7.sumstats.gz	results/sldsc_sumstats_107/PASS.Covid19_Infection.hg_v7.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Covid19_Infection.hg_v7_list.txt	ok	ok	0.0022	0.0003	1.1188	1.1392	1.0549	0.0072	0.3941	0.0519	0.0021	0.0001	0.0004	0.0002	0.9947	0.0053	0.9353	0.0647	0.9402	12.2755	3.3948e-10	4.4322e-09	6.1831e-11	6.58e-09	0.9201786753317954	0.061890430961427254	16.27065799936164	11.840289654094422	0.0020992389102679515	0.0002196569816420779	0.0019216303172369398	0.0001776085930310139
PASS.Covid19_Vaccination.Hartonen2023	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Covid19_Vaccination.Hartonen2023.sumstats.gz	results/sldsc_sumstats_107/PASS.Covid19_Vaccination.Hartonen2023.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Covid19_Vaccination.Hartonen2023_list.txt	ok	ok	0.0397	0.0034	1.2804	1.3169	1.1429	0.0095	0.451	0.0299	0.0412	-0.0015	0.0035	0.0019	0.9947	0.0053	1.0375	-0.0375	1.043	-7.1046	6.7915e-09	-4.6264e-08	5.7175e-10	6.016e-08	1.0052271044686834	4.440892098500626e-16	0.0	0.0	0.03607414249053437	0.0020596058468735985	0.03607414249053437	0.0
PASS.Daytime_Napping.Dashti2021	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Daytime_Napping.Dashti2021.sumstats.gz	results/sldsc_sumstats_107/PASS.Daytime_Napping.Dashti2021.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Daytime_Napping.Dashti2021_list.txt	ok	ok	0.0885	0.0036	1.5722	1.7734	1.1798	0.0127	0.2325	0.0164	0.085	0.0035	0.0037	0.0018	0.9947	0.0053	0.9605	0.0395	0.9656	7.4883	1.4001e-08	1.0858e-07	6.0898e-10	5.4868e-08	0.9340616057254054	0.014587500799316866	13.614707563171685	2.790742156907903	0.0907491669132473	0.002297966393704497	0.084324539388573	0.0064246275246743235
PASS.Depression.Howard2019	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Depression.Howard2019.sumstats.gz	results/sldsc_sumstats_107/PASS.Depression.Howard2019.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Depression.Howard2019_list.txt	ok	ok	0.065	0.0028	1.4551	1.5889	1.0997	0.0104	0.1694	0.0176	0.0646	0.0004	0.0032	0.0014	0.9947	0.0053	0.9934	0.0066	0.9987	1.2454	1.0635e-08	1.3263e-08	5.2796e-10	4.4299e-08	1.005227104468687	2.220446049250313e-16	0.0	0.0	0.06587520893846224	0.0015535809358777225	0.06587520893846224	0.0
PASS.Drinks_Per_Week.Liu2019	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Drinks_Per_Week.Liu2019.sumstats.gz	results/sldsc_sumstats_107/PASS.Drinks_Per_Week.Liu2019.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Drinks_Per_Week.Liu2019_list.txt	ok	ok	0.0539	0.0034	1.3398	1.491	1.026	0.0146	0.053	0.0298	0.0531	0.0008	0.0036	0.0018	0.9947	0.0053	0.9852	0.0148	0.9904	2.8044	8.7474e-09	2.4768e-08	5.986e-10	5.6503e-08	1.0052271044686814	0.0	0.0	0.0	0.04973271421530148	0.0016564412579478985	0.04973271421530148	0.0
PASS.Education_Years.Rietveld2013	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Education_Years.Rietveld2013.sumstats.gz	results/sldsc_sumstats_107/PASS.Education_Years.Rietveld2013.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Education_Years.Rietveld2013_list.txt	ok	ok	0.0862	0.0071	1.1974	1.2324	1.0661	0.0083	0.2842	0.0357	0.0813	0.0048	0.007	0.004	0.9947	0.0053	0.9437	0.0563	0.9487	10.6766	1.3396e-08	1.5076e-07	1.1463e-09	1.247e-07	0.9309673230284774	0.03704623025111912	14.20667635114327	7.087333048931346	0.08469440004258545	0.005346163405680777	0.07843771674344602	0.006256683299139645
PASS.Endometriosis.Rahmioglu2023	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Endometriosis.Rahmioglu2023.sumstats.gz	results/sldsc_sumstats_107/PASS.Endometriosis.Rahmioglu2023.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Endometriosis.Rahmioglu2023_list.txt	ok	ok	0.0163	0.0016	1.039	1.0902	0.9626	0.008			0.017	-0.0007	0.0017	0.0011	0.9947	0.0053	1.0404	-0.0404	1.0459	-7.6691	2.8003e-09	-2.0532e-08	2.7269e-10	3.3263e-08	1.0052271044686807	2.220446049250313e-16	0.0	0.0	0.01593176214160611	0.0009735473969163948	0.01593176214160611	0.0
PASS.Eosinophil_Percentage.Vuckovic2020	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Eosinophil_Percentage.Vuckovic2020.sumstats.gz	results/sldsc_sumstats_107/PASS.Eosinophil_Percentage.Vuckovic2020.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Eosinophil_Percentage.Vuckovic2020_list.txt	ok	ok	0.2262	0.0168	1.5879	2.7364	1.3954	0.0395	0.2277	0.0227	0.2076	0.0187	0.0166	0.0083	0.9947	0.0053	0.9175	0.0825	0.9224	15.6405	3.4203e-08	5.7995e-07	2.7408e-09	2.5763e-07	0.9396074569429896	0.00973270110339452	12.553727961403723	1.861967971312651	0.24165622710594778	0.004146582661276375	0.2258812879159999	0.015774939189948337
PASS.Ever_Smoked.TAGC2010	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Ever_Smoked.TAGC2010.sumstats.gz	results/sldsc_sumstats_107/PASS.Ever_Smoked.TAGC2010.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Ever_Smoked.TAGC2010_list.txt	ok	ok	0.0794	0.0076	1.0877	1.1037	1.017	0.0064	0.1644	0.0613	0.0731	0.0063	0.0084	0.006	0.9947	0.0053	0.9206	0.0794	0.9254	15.0691	1.2047e-08	1.9616e-07	1.3794e-09	1.8796e-07	0.9722703076626795	0.05083993721288329	6.304981467932324	9.72621410524158	0.07110498534302345	0.007269937300415336	0.06877377825218146	0.0023312070908414672
PASS.Fetal_Birth_Weight.Warrington2019	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Fetal_Birth_Weight.Warrington2019.sumstats.gz	results/sldsc_sumstats_107/PASS.Fetal_Birth_Weight.Warrington2019.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Fetal_Birth_Weight.Warrington2019_list.txt	ok	ok	0.1149	0.0071	1.3936	1.6276	1.1681	0.0161	0.2679	0.0257	0.1066	0.0084	0.007	0.0051	0.9947	0.0053	0.9273	0.0727	0.9322	13.7859	1.7559e-08	2.5966e-07	1.1601e-09	1.5922e-07	0.9221127291379453	0.016850512442650237	15.900653187378815	3.223680059123224	0.1086801831980077	0.0032877024610421693	0.09969426797827517	0.008985915219732396
PASS.Forced_Vital_Capacity.Shrine2023	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Forced_Vital_Capacity.Shrine2023.sumstats.gz	results/sldsc_sumstats_107/PASS.Forced_Vital_Capacity.Shrine2023.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Forced_Vital_Capacity.Shrine2023_list.txt	ok	ok	0.1616	0.0058	1.9499	2.5839	1.2488	0.018	0.1571	0.0114	0.1597	0.0019	0.0057	0.0032	0.9947	0.0053	0.9885	0.0115	0.9937	2.1883	2.6315e-08	5.7952e-08	9.4465e-10	9.8399e-08	0.9744191543857302	0.008810352594211446	5.893884514365907	1.6855130114570276	0.15725466522568404	0.002659532048285124	0.15243516338868868	0.004819501836994606
PASS.Gastrointestinal_Disease.Donertas2021	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Gastrointestinal_Disease.Donertas2021.sumstats.gz	results/sldsc_sumstats_107/PASS.Gastrointestinal_Disease.Donertas2021.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Gastrointestinal_Disease.Donertas2021_list.txt	ok	ok	0.0216	0.0015	1.1889	1.2082	1.0501	0.0072	0.2407	0.0348	0.0213	0.0003	0.0015	0.0012	0.9947	0.0053	0.9869	0.0131	0.9921	2.4879	3.5063e-09	8.7928e-09	2.5329e-10	3.5857e-08	0.9784816259095049	0.03036593019690186	5.116691032178422	5.809321466373526	0.021322076213655283	0.0012871137358906552	0.020754772437549033	0.0005673037761062065
PASS.General_Risk_Tolerance.KarlssonLinner2019	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.General_Risk_Tolerance.KarlssonLinner2019.sumstats.gz	results/sldsc_sumstats_107/PASS.General_Risk_Tolerance.KarlssonLinner2019.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.General_Risk_Tolerance.KarlssonLinner2019_list.txt	ok	ok	0.0539	0.0028	1.374	1.4679	1.0947	0.0106	0.2025	0.0226	0.0532	0.0007	0.0028	0.0013	0.9947	0.0053	0.987	0.013	0.9923	2.4586	8.7663e-09	2.172e-08	4.579e-10	4.0907e-08	1.005227104468684	2.220446049250313e-16	0.0	0.0	0.05346794354023686	0.001555266169761861	0.05346794354023686	0.0
PASS.Genetic_Generalized_Epilepsy.Berkovic2022	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Genetic_Generalized_Epilepsy.Berkovic2022.sumstats.gz	results/sldsc_sumstats_107/PASS.Genetic_Generalized_Epilepsy.Berkovic2022.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Genetic_Generalized_Epilepsy.Berkovic2022_list.txt	ok	ok	0.5978	0.0571	1.2932	1.3493	1.1109	0.0112	0.3175	0.0322	0.5565	0.0414	0.0527	0.0261	0.9947	0.0053	0.9308	0.0692	0.9357	13.1316	9.1681e-08	1.2866e-06	8.6805e-09	8.1165e-07	0.9434941004977843	0.03572837794200048	11.810172216901861	6.835214057047027	0.5677337184430512	0.033559760533069846	0.532868057002713	0.034865661440336274
PASS.Glaucoma.Craig2020	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Glaucoma.Craig2020.sumstats.gz	results/sldsc_sumstats_107/PASS.Glaucoma.Craig2020.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Glaucoma.Craig2020_list.txt	ok	ok	0.3582	0.0254	1.1908	1.3742	1.0116	0.013	0.0311	0.0348	0.3452	0.0131	0.0235	0.0145	0.9947	0.0053	0.9635	0.0365	0.9686	6.9228	5.6868e-08	4.0644e-07	3.8736e-09	4.4982e-07	0.9285231853250951	0.019016260449433713	14.674265571527243	3.638010405830275	0.3679854778636079	0.012061444349283475	0.3399063222035716	0.02807915566003542
PASS.Gout.Donertas2021	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Gout.Donertas2021.sumstats.gz	results/sldsc_sumstats_107/PASS.Gout.Donertas2021.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Gout.Donertas2021_list.txt	ok	ok	0.019	0.0043	1.0979	1.1752	1.0318	0.0142	0.1813	0.0808	0.018943	7.3238e-06	0.0047	0.0019	0.9947	0.0053	0.99961	0.00038647	1.0049	0.0733	3.1211e-09	2.2766e-10	7.8249e-10	5.91e-08	0.9580850017254802	0.03597958068363064	9.018779522321454	6.883271780617546	0.017972958664095436	0.0012243937332186252	0.017130081407627142	0.0008428772564682378
PASS.HDL.Teslovich2010	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.HDL.Teslovich2010.sumstats.gz	results/sldsc_sumstats_107/PASS.HDL.Teslovich2010.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.HDL.Teslovich2010_list.txt	ok	ok	0.1066	0.0112	1.017	1.1101	0.9454	0.0139			0.0997	0.0069	0.0105	0.0068	0.9947	0.0053	0.9355	0.0645	0.9405	12.2333	1.6423e-08	2.1363e-07	1.7373e-09	2.1237e-07	1.0052271044686876	0.0	0.0	0.0	0.09942524057809704	0.005208606117151344	0.09942524057809704	0.0
PASS.Heart_Failure.Shah2020	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Heart_Failure.Shah2020.sumstats.gz	results/sldsc_sumstats_107/PASS.Heart_Failure.Shah2020.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Heart_Failure.Shah2020_list.txt	ok	ok	0.0096	0.0007	1.1266	1.158	1.0219	0.0066	0.1385	0.0416	0.0085	0.0011	0.0008	0.0005	0.9947	0.0053	0.8845	0.1155	0.8892	21.904	1.406e-09	3.4634e-08	1.2844e-10	1.6076e-08	0.8771663581210867	0.044440465122439696	24.499366162437777	8.501927862488328	0.008522420140271426	0.0006244829635321709	0.00743670778830714	0.0010857123519643084
